dataset,model,seed,data_ratio,train_size,hyperparams,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,per_class_f1,train_time,inference_time,throughput,model_size_mb
imdb,tfidf_svm,42,0.5,17510,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8872994652406417,0.8872849100895686,0.8965333333333333,0.896525798571928,"[0.8956428187197418, 0.8974087784241143]",7.284876108169556,1.3174169063568115,5692.95867072218,0.1
imdb,tfidf_svm,123,0.5,17510,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8914438502673797,0.8914252131843101,0.8954666666666666,0.895460838492258,"[0.8946802794196669, 0.8962413975648491]",7.262838125228882,1.2178661823272705,6158.312061566519,0.1
imdb,tfidf_svm,456,0.5,17510,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8890374331550802,0.8890307611648989,0.8978666666666667,0.8978650325071867,"[0.8974564926372155, 0.898273572377158]",7.531929016113281,1.1746881008148193,6384.673510183379,0.1
imdb,tfidf_svm,42,0.25,8755,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8786096256684492,0.8785740684166143,0.8856,0.8855940691965472,"[0.8847703464947623, 0.886417791898332]",3.4419748783111572,1.1930108070373535,6286.615306214215,0.1
imdb,tfidf_svm,123,0.25,8755,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8814171122994653,0.8814003219270994,0.8836,0.8835950313185812,"[0.8828345188565293, 0.8843555437806332]",3.884486198425293,1.2213830947875977,6140.579505322426,0.1
imdb,tfidf_svm,456,0.25,8755,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8798128342245989,0.8797950431588049,0.8864,0.8863836392440512,"[0.8850202429149797, 0.8877470355731225]",3.7755520343780518,1.2972872257232666,5781.294883111627,0.1
imdb,tfidf_svm,42,0.1,3502,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8624331550802139,0.862361221805149,0.8686666666666667,0.8686378931107737,"[0.8666937339288131, 0.8705820522927342]",1.3902220726013184,1.1469082832336426,6539.319760473067,0.1
imdb,tfidf_svm,123,0.1,3502,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8655080213903743,0.8653894494700249,0.8712,0.8711702351711339,"[0.8692120227457352, 0.8731284475965327]",1.2944221496582031,1.1604061126708984,6463.254474536767,0.1
imdb,tfidf_svm,456,0.1,3502,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8637700534759358,0.8637421713539104,0.8716,0.8715728739078203,"[0.8697063996752807, 0.8734393481403601]",1.2669038772583008,1.1426477432250977,6563.702632301551,0.1
imdb,tfidf_svm,42,0.05,1751,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.841711229946524,0.8416294269645843,0.8484,0.8483766863993008,"[0.8464965573106521, 0.8502568154879494]",0.5816912651062012,1.046133041381836,7169.260221523315,0.1
imdb,tfidf_svm,123,0.05,1751,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8517379679144385,0.8515544512611041,0.8565333333333334,0.8564542849409837,"[0.8530857454942654, 0.859822824387702]",0.6384849548339844,1.3034002780914307,5754.180144093763,0.1
imdb,tfidf_svm,456,0.05,1751,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8451871657754011,0.8451265344235254,0.8522666666666666,0.8521889272395281,"[0.8487991266375546, 0.8555787278415016]",0.5782678127288818,1.0383470058441162,7223.018853801126,0.1
imdb,tfidf_svm,42,0.01,350,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8017379679144385,0.8016613661468206,0.8001333333333334,0.8001192297461842,"[0.7984402312760521, 0.8017982282163163]",0.09116911888122559,1.0155141353607178,7385.421570066031,0.1
imdb,tfidf_svm,123,0.01,350,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.808288770053476,0.8079239276812722,0.8050666666666667,0.804798471912948,"[0.7975630019385211, 0.8120339418873747]",0.10576009750366211,1.034240961074829,7251.694993984445,0.1
imdb,tfidf_svm,456,0.01,350,"{""model_type"": ""svm"", ""C"": 1.0, ""max_features"": 50000, ""ngram_range"": [1, 2]}",0.8005347593582888,0.8003292016145193,0.8105333333333333,0.8103374971052333,"[0.8042430086788814, 0.816431985531585]",0.10146832466125488,1.055060863494873,7108.594640840306,0.1
